token_text,start_capital,all_capital,capital_ratio,length,vowel_ratio,number_of_vowels,numeric_charecter,numeric_ratio,number_of_nonAlphanumeric,nonAlphanumericRatio,previous_word_text,prev_start_capital,prev_all_capital,prev_capital_ratio,prev_length,prev_vowel_ratio,prev_number_of_vowels,prev_numeric_charecter,prev_numeric_ratio,prev_number_of_nonAlphanumeric,prev_nonAlphanumericRatio,next_word_text,next_start_capital,next_all_capital,next_capital_ratio,next_length,next_vowel_ratio,next_number_of_vowels,next_numeric_charecter,next_numeric_ratio,next_number_of_nonAlphanumeric,next_nonAlphanumericRatio,class
kuruldu,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,Corporation,1,0,0.09090909090909091,11,1.2,5.0,0.0,0.0,0.0,0.0,KUdNHJCGGS,1,0,0.9,10,9.0,1.0,0.0,0.0,0.0,0.0,9
Dünya,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,,0,0,0.14063532700278245,5,1.420505112390355,2.1184594068367573,0.37582895816566525,0.1131277543876001,0.0007369195258150298,0.00010590836278909671,Ressamlar,1,0,0.1111111111111111,9,2.0,3.0,0.0,0.0,0.0,0.0,8
Ressamlar,1,0,0.1111111111111111,9,2.0,3.0,0.0,0.0,0.0,0.0,Dünya,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,Günü,1,0,0.25,4,1.0,2.0,0.0,0.0,0.0,0.0,6
NAsA,1,0,0.75,4,1.0,2.0,0.0,0.0,0.0,0.0,1915,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,National,1,0,0.125,8,1.0,4.0,0.0,0.0,0.0,0.0,7
National,1,0,0.125,8,1.0,4.0,0.0,0.0,0.0,0.0,NAsA,1,0,0.75,4,1.0,2.0,0.0,0.0,0.0,0.0,Aeronautics,1,0,0.09090909090909091,11,0.8333333333333334,6.0,0.0,0.0,0.0,0.0,7
Aeronautics,1,0,0.09090909090909091,11,0.8333333333333334,6.0,0.0,0.0,0.0,0.0,National,1,0,0.125,8,1.0,4.0,0.0,0.0,0.0,0.0,and,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,7
Space,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,and,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,Administration,1,0,0.07142857142857142,14,1.3333333333333333,6.0,0.0,0.0,0.0,0.0,7
Administration,1,0,0.07142857142857142,14,1.3333333333333333,6.0,0.0,0.0,0.0,0.0,Space,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,kuruldu,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,7
kuruldu,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,Administration,1,0,0.07142857142857142,14,1.3333333333333333,6.0,0.0,0.0,0.0,0.0,sGVKi2laGP,0,0,0.5,10,3.5,2.0,1.0,0.1,0.0,0.0,9
Time,1,0,0.25,4,1.0,2.0,0.0,0.0,0.0,0.0,1923,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,dergisinin,0,0,0.0,10,1.5,4.0,0.0,0.0,0.0,0.0,7
dergisinin,0,0,0.0,10,1.5,4.0,0.0,0.0,0.0,0.0,Time,1,0,0.25,4,1.0,2.0,0.0,0.0,0.0,0.0,ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,7
buz,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,hokeyi,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,6
hokeyi,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,buz,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,Montreal,1,0,0.125,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,6
Montreal,1,0,0.125,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,hokeyi,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,de,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,8
oynandý,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,de,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,,0,0,0.1488381213291985,5,1.5349334449938143,2.18821355380524,0.3546961205713594,0.0970422423709899,0.0012891343945999562,0.00013345169783196258,9
1962,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,Wilt,1,0,0.25,4,3.0,1.0,0.0,0.0,0.0,0.0,3
Wilt,1,0,0.25,4,3.0,1.0,0.0,0.0,0.0,0.0,1962,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,Chamberlain,1,0,0.09090909090909091,11,1.75,4.0,0.0,0.0,0.0,0.0,10
Chamberlain,1,0,0.09090909090909091,11,1.75,4.0,0.0,0.0,0.0,0.0,Wilt,1,0,0.25,4,3.0,1.0,0.0,0.0,0.0,0.0,100,0,0,0.0,3,0.0,0.0,3.0,1.0,0.0,0.0,10
NBA,1,1,1.0,3,2.0,1.0,0.0,0.0,0.0,0.0,ile,0,0,0.0,3,0.5,2.0,0.0,0.0,0.0,0.0,rekorunu,0,0,0.0,8,1.0,4.0,0.0,0.0,0.0,0.0,7
rekorunu,0,0,0.0,8,1.0,4.0,0.0,0.0,0.0,0.0,NBA,1,1,1.0,3,2.0,1.0,0.0,0.0,0.0,0.0,kýrdý,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0,9
kýrdý,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0,rekorunu,0,0,0.0,8,1.0,4.0,0.0,0.0,0.0,0.0,P4K2xYxTsy,1,0,0.4,10,8.0,0.0,2.0,0.2,0.0,0.0,9
TRT,1,1,1.0,3,3.0,0.0,0.0,0.0,0.0,0.0,1974,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,Televizyonu,1,0,0.09090909090909091,11,1.2,5.0,0.0,0.0,0.0,0.0,7
Televizyonu,1,0,0.09090909090909091,11,1.2,5.0,0.0,0.0,0.0,0.0,TRT,1,1,1.0,3,3.0,0.0,0.0,0.0,0.0,0.0,çarþamba,0,0,0.0,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,7
çarþamba,0,0,0.0,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,Televizyonu,1,0,0.09090909090909091,11,1.2,5.0,0.0,0.0,0.0,0.0,hariç,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0,3
haftanýn,0,0,0.0,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,hariç,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0,her,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,3
yayýn,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0,günü,0,0,0.0,4,1.0,2.0,0.0,0.0,0.0,0.0,yapmaya,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,9
yapmaya,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,yayýn,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0,baþladý,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,9
baþladý,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,yapmaya,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,,0,0,0.1488655266176038,5,1.5352160694543175,2.188616465525697,0.35476143011298544,0.09706011057985951,0.0012893717605352536,0.00013345169783196258,9
02,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,,0,0,0.14066122192581737,5,1.420766667373303,2.118849474854956,0.3758981588576493,0.11314858439209052,0.0007370552134463713,0.00010590836278909674,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,3
03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,02,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,1995,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,3
1995,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,Yahoo,1,0,0.2,5,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,3
Yahoo,1,0,0.2,5,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,1995,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,kuruldu,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,7
kuruldu,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,Yahoo,1,0,0.2,5,0.6666666666666666,3.0,0.0,0.0,0.0,0.0,XgRob0bvPm,1,0,0.3,10,8.0,1.0,1.0,0.1,0.0,0.0,9
02,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,,0,0,0.1406871216168367,5,1.421028270515887,2.119239614695658,0.37596737229142907,0.11316941823197123,0.0007371909260616256,0.00010590836278909673,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,3
03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,02,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,1969,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,3
1969,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,Concorde,1,0,0.125,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,3
Concorde,1,0,0.125,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,1969,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,Fransa,1,0,0.16666666666666666,6,2.0,2.0,0.0,0.0,0.0,0.0,10
Fransa,1,0,0.16666666666666666,6,2.0,2.0,0.0,0.0,0.0,0.0,Concorde,1,0,0.125,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,da,0,0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,5
test,0,0,0.0,4,3.0,1.0,0.0,0.0,0.0,0.0,ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,uçuþunu,0,0,0.0,7,0.75,4.0,0.0,0.0,0.0,0.0,9
uçuþunu,0,0,0.0,7,0.75,4.0,0.0,0.0,0.0,0.0,test,0,0,0.0,4,3.0,1.0,0.0,0.0,0.0,0.0,yaptý,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0,9
yaptý,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0,uçuþunu,0,0,0.0,7,0.75,4.0,0.0,0.0,0.0,0.0,bNoLaxL1u3,0,0,0.3,10,1.6666666666666667,3.0,2.0,0.2,0.0,0.0,9
01,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,,0,0,0.14071302607671823,5,1.4212899218269743,2.1196298263720887,0.3760365984693505,0.1131902559079484,0.0007373266636653931,0.00010590836278909675,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,3
03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,01,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,1912,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,3
1912,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,Albert,1,0,0.16666666666666666,6,2.0,2.0,0.0,0.0,0.0,0.0,3
Albert,1,0,0.16666666666666666,6,2.0,2.0,0.0,0.0,0.0,0.0,1912,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,Berry,1,0,0.2,5,4.0,1.0,0.0,0.0,0.0,0.0,10
Berry,1,0,0.2,5,4.0,1.0,0.0,0.0,0.0,0.0,Albert,1,0,0.16666666666666666,6,2.0,2.0,0.0,0.0,0.0,0.0,bir,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,10
uçaktan,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,ile,0,0,0.0,3,0.5,2.0,0.0,0.0,0.0,0.0,atlayan,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,9
atlayan,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,uçaktan,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,9
ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,atlayan,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,kiþi,0,0,0.0,4,1.0,2.0,0.0,0.0,0.0,0.0,9
kiþi,0,0,0.0,4,1.0,2.0,0.0,0.0,0.0,0.0,ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,oldu,0,0,0.0,4,1.0,2.0,0.0,0.0,0.0,0.0,9
oldu,0,0,0.0,4,1.0,2.0,0.0,0.0,0.0,0.0,kiþi,0,0,0.0,4,1.0,2.0,0.0,0.0,0.0,0.0,E8DgXUxQk9,1,0,0.5,10,3.0,2.0,2.0,0.2,0.0,0.0,9
01,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,,0,0,0.14073893530634018,5,1.4215516213154344,2.1200201098974754,0.37610583739376025,0.11321109742072837,0.000737462426262275,0.00010590836278909674,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,3
1872,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,03,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,Dünyanýn,1,0,0.125,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,3
Dünyanýn,1,0,0.125,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,1872,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,8
ulusal,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,parký,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0,5
parký,0,0,0.0,5,1.5,2.0,0.0,0.0,0.0,0.0,ulusal,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,olan,0,0,0.0,4,1.0,2.0,0.0,0.0,0.0,0.0,5
Yellowstone,1,0,0.09090909090909091,11,1.75,4.0,0.0,0.0,0.0,0.0,olan,0,0,0.0,4,1.0,2.0,0.0,0.0,0.0,0.0,Ulusal,1,0,0.16666666666666666,6,1.0,3.0,0.0,0.0,0.0,0.0,8
Ulusal,1,0,0.16666666666666666,6,1.0,3.0,0.0,0.0,0.0,0.0,Yellowstone,1,0,0.09090909090909091,11,1.75,4.0,0.0,0.0,0.0,0.0,Parký,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,8
Parký,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,Ulusal,1,0,0.16666666666666666,6,1.0,3.0,0.0,0.0,0.0,0.0,açýldý,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,8
Islahat,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,1856,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,Fermaný,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,9
Fermaný,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,Islahat,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,ilan,0,0,0.0,4,1.0,2.0,0.0,0.0,0.0,0.0,9
ilan,0,0,0.0,4,1.0,2.0,0.0,0.0,0.0,0.0,Fermaný,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,edildi,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,9
edildi,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,ilan,0,0,0.0,4,1.0,2.0,0.0,0.0,0.0,0.0,,0,0,0.14889293695209424,5,1.535498745953941,2.189019451433546,0.3548267516799369,0.09707798207876947,0.0012896091701763022,0.00013345169783196258,9
Meteoroloji,1,0,0.09090909090909091,11,0.8333333333333334,6.0,0.0,0.0,0.0,0.0,1937,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,Genel,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,7
Genel,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,Meteoroloji,1,0,0.09090909090909091,11,0.8333333333333334,6.0,0.0,0.0,0.0,0.0,Müdürlüðü,1,0,0.1111111111111111,9,1.25,4.0,0.0,0.0,0.0,0.0,7
Müdürlüðü,1,0,0.1111111111111111,9,1.25,4.0,0.0,0.0,0.0,0.0,Genel,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,kuruldu,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,7
28,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,,0,0,0.1407648493065807,5,1.4218133689901382,2.1204104652850457,0.3761750890670053,0.11323194277101756,0.0007375982138568731,0.00010590836278909671,02,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,3
02,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,28,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,1935,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,3
1935,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,02,0,0,0.0,2,0.0,0.0,2.0,1.0,0.0,0.0,Wallace,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,3
Wallace,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,1935,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,Carothers,1,0,0.1111111111111111,9,2.0,3.0,0.0,0.0,0.0,0.0,10
Carothers,1,0,0.1111111111111111,9,2.0,3.0,0.0,0.0,0.0,0.0,Wallace,1,0,0.14285714285714285,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,naylonu,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,10
